relation	path	child_id	minCardinality	maxCardinality
choice	/GENEPIO:0002082	GAZ:00006895		
choice	/GENEPIO:0002082	GAZ:00001105		
choice	/GENEPIO:0002082	GAZ:00003902		
choice	/GENEPIO:0002082	GAZ:00000584		
choice	/GENEPIO:0002082	GAZ:00000583		
choice	/GENEPIO:0002082	GAZ:00002852		
choice	/GENEPIO:0002082	GAZ:00003897		
choice	/GENEPIO:0002082	GAZ:00003857		
choice	/GENEPIO:0002082	GAZ:00008744		
choice	/GENEPIO:0002082	GAZ:00006898		
choice	/GENEPIO:0002082	GAZ:00000565		
choice	/GENEPIO:0002082	GAZ:00001100		
choice	/GENEPIO:0002082	GAZ:00006899		
choice	/GENEPIO:0002082	GAZ:00001096		
choice	/GENEPIO:0002082	GAZ:00006900		
choice	/GENEPIO:0002082	GAZ:00004399		
choice	/GENEPIO:0002082	GAZ:00000469		
choice	/GENEPIO:0002082	GAZ:00002978		
choice	/GENEPIO:0002082	GAZ:00000585		
choice	/GENEPIO:0002082	GAZ:00000912		
choice	/GENEPIO:0002082	GAZ:00006902		
choice	/GENEPIO:0002082	GAZ:00002801		
choice	/GENEPIO:0002082	GAZ:00005283		
choice	/GENEPIO:0002082	GAZ:00005246		
choice	/GENEPIO:0002082	GAZ:00006905		
choice	/GENEPIO:0002082	GAZ:00002892		
choice	/GENEPIO:0002082	GAZ:00003922		
choice	/GENEPIO:0002082	GAZ:00002933		
choice	/GENEPIO:0002082	GAZ:00002932		
choice	/GENEPIO:0002082	GAZ:00002939		
choice	/GENEPIO:0002082	GAZ:00002944		
choice	/GENEPIO:0002082	GAZ:00005286		
choice	/GENEPIO:0002082	GAZ:00005341		
choice	/GENEPIO:0002082	GAZ:00001088		
choice	/GENEPIO:0002082	GAZ:00002943		
choice	/GENEPIO:0002082	GAZ:00001094		
choice	/GENEPIO:0002082	GAZ:00002951		
choice	/GENEPIO:0002082	GAZ:00002721		
choice	/GENEPIO:0002082	GAZ:00001087		
choice	/GENEPIO:0002082	GAZ:00006906		
choice	/GENEPIO:0002082	GAZ:00006909		
choice	/GENEPIO:0002082	GAZ:02000565		
choice	/GENEPIO:0002082	GAZ:00006910		
choice	/GENEPIO:0002082	GAZ:00003102		
choice	/GENEPIO:0002082	GAZ:00006927		
choice	/GENEPIO:0002082	GAZ:00005279		
choice	/GENEPIO:0002082	GAZ:00002639		
choice	/GENEPIO:0002082	GAZ:00000913		
choice	/GENEPIO:0002082	GAZ:00002957		
choice	/GENEPIO:0002082	GAZ:00000914		
choice	/GENEPIO:0002082	GAZ:00003923		
choice	/GENEPIO:0002082	GAZ:00002956		
choice	/GENEPIO:0002082	GAZ:00002955		
choice	/GENEPIO:0002082	GAZ:00001104		
choice	/GENEPIO:0002082	GAZ:00000553		
choice	/GENEPIO:0002082	GAZ:00233439		
choice	/GENEPIO:0002082	GAZ:00003924		
choice	/GENEPIO:0002082	GAZ:00000560		
choice	/GENEPIO:0002082	GAZ:00002525		
choice	/GENEPIO:0002082	GAZ:00001099		
choice	/GENEPIO:0002082	GAZ:00002729		
choice	/GENEPIO:0002082	GAZ:00002941		
choice	/GENEPIO:0002082	GAZ:00002474		
choice	/GENEPIO:0002082	GAZ:00006912		
choice	/GENEPIO:0002082	GAZ:00001103		
choice	/GENEPIO:0002082	GAZ:00003744		
choice	/GENEPIO:0002082	GAZ:00002733		
choice	/GENEPIO:0002082	GAZ:00004525		
choice	/GENEPIO:0002082	GAZ:00006913		
choice	/GENEPIO:0002082	GAZ:00000915		
choice	/GENEPIO:0002082	GAZ:00260188		
choice	/GENEPIO:0002082	GAZ:00006916		
choice	/GENEPIO:0002082	GAZ:00003767		
choice	/GENEPIO:0002082	GAZ:00000562		
choice	/GENEPIO:0002082	GAZ:00000558		
choice	/GENEPIO:0002082	GAZ:00005018		
choice	/GENEPIO:0002082	GAZ:00009715		
choice	/GENEPIO:0002082	GAZ:00001102		
choice	/GENEPIO:0002082	GAZ:00002724		
choice	/GENEPIO:0002082	GAZ:00005282		
choice	/GENEPIO:0002082	GAZ:00002637		
choice	/GENEPIO:0002082	GAZ:00002930		
choice	/GENEPIO:0002082	GAZ:00004979		
choice	/GENEPIO:0002082	GAZ:00006918		
choice	/GENEPIO:0002082	GAZ:00003103		
choice	/GENEPIO:0002082	GAZ:00002931		
choice	/GENEPIO:0002082	GAZ:00003756		
choice	/GENEPIO:0002082	GAZ:00002640		
choice	/GENEPIO:0002082	GAZ:00005284		
choice	/GENEPIO:0002082	GAZ:00001107		
choice	/GENEPIO:0002082	GAZ:00001106		
choice	/GENEPIO:0002082	GAZ:00052663		
