datatype	path	id	label	definition	ui_label	ui_definition	help	minValue	maxValue	minLength	maxLength	pattern	format	preferred_unit
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060	FOODON:00001585	almond candy food product											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060/FOODON:00001585	FOODON:03303769	almond bark (artificially sweetened)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060/FOODON:00001585	FOODON:03301298	jordan almond											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060/FOODON:00001585	FOODON:03315555	marzipan											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060/FOODON:00001585	FOODON:03301953	marzipan candy											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060	FOODON:03316273	marzipan, products similar to											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060	FOODON:00002097	peanut candy food product											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060/FOODON:00002097	FOODON:03309829	chocolate-covered peanut											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060/FOODON:00002097	FOODON:03304234	coconut peanut butter log											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060/FOODON:00002097	FOODON:03303947	peanut (milk chocolate-coated)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060/FOODON:00002097	FOODON:03310296	peanut candy											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060	FOODON:00002106	pecan candy food product											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060/FOODON:00002106	FOODON:03307269	peanut cluster (artificially vanilla- and maple-flavored)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060/FOODON:00002106	FOODON:03304802	pecan cluster candy											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002060/FOODON:00002106	FOODON:03301758	praline											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172	FOODON:03315966	nut coated											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172	FOODON:03310810	nut dried											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172	FOODON:03310671	nut meat											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172	FOODON:03316049	nut processed											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172	FOODON:03316972	nut products											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172	FOODON:03302440	nut spread											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172	FOODON:03301367	nuts (mixed)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172	FOODON:00002099	peanut food product											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03309867	groundnut shell											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03301765	imitation peanut butter											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306912	peanut (blanched)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306590	peanut (canned)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306859	peanut (dry roasted)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306860	peanut green boiled packed in brine											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306856	peanut (ground)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03301353	peanut (in shell)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03304760	peanut (lightly salted)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306902	peanut (oil-roasted)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306871	peanut (partially defatted)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03301299	peanut (raw)											
