relation	path	child_id	minCardinality	maxCardinality
component	/GENEPIO:0002092	GENEPIO:0001656	0	
component	/GENEPIO:0002092	GENEPIO:0000118	1	1
component	/GENEPIO:0002092	GENEPIO:0002097	1	1
component	/GENEPIO:0002092	GENEPIO:0001785	1	1
component	/GENEPIO:0002092/GENEPIO:0002086	GENEPIO:0001863	1	1
component	/GENEPIO:0002092/GENEPIO:0002086	GENEPIO:0001862	1	1
unit	/GENEPIO:0002092/GENEPIO:0002086/GENEPIO:0001656	UO:0000185		
unit	/GENEPIO:0002092/GENEPIO:0002086/GENEPIO:0001656	UO:0000185		
component	/GENEPIO:0002092/GENEPIO:0002086			
component	/GENEPIO:0002092/GENEPIO:0002086			
component	/GENEPIO:0002092/GENEPIO:0002086			
component	/GENEPIO:0002092	ENVO:00000191		1
component	/GENEPIO:0002092	ENVO:00000002		1
component	/GENEPIO:0002092	ENVO:00000428		1
component	/	OBI:0001616	1	1
component	/	GENEPIO:0002141	1	1
component	/	GENEPIO:0001644	1	1
component	/	GENEPIO:0001429	1	1
component	/	GENEPIO:0001640	1	1
component	/	GENEPIO:0000113	1	1
component	/	OBI:0001619	1	1
component	/	GENEPIO:0001797	1	1
component	/	GENEPIO:0001657	1	1
component	/	GENEPIO:0000027		1
component	/	GENEPIO:0001567	1	1
component	/	GENEPIO:0001724		1
component	/	GENEPIO:0001617		1
component	/GENEPIO:0002091	Nee50babdc7db4a83ab1c6168ea5b5a9c		1
component	/GENEPIO:0002091/GENEPIO:0001797	NCIT:C25191	1	1
component	/GENEPIO:0002091/GENEPIO:0001797	NCIT:C93874	1	1
component	/GENEPIO:0002091	NCIT:C25464	1	1
component	/GENEPIO:0002091	N9cc88a5db840491cb7e67b029f7a44b9		1
component	/GENEPIO:0002091	ENVO:00000005		1
component	/GENEPIO:0002091/GENEPIO:0001657	GENEPIO:0001887	1	1
component	/GENEPIO:0002091/GENEPIO:0001657	NCIT:C80234	1	1
component	/GENEPIO:0002091			
component	/GENEPIO:0002091			
component	/GENEPIO:0002091			
